Id,Sales
1,4687.314624
2,4759.587528
3,4901.191487
4,5174.199254
5,464.730437
6,4128.120971
7,3899.99678
8,3743.35965
9,3799.74437
10,3864.724671
11,4000.083757
12,464.730437
13,4128.120971
14,4734.003478
15,4796.593765
16,4880.752655
17,5027.797288
18,5396.565215
19,525.1693498
20,4174.087761
21,3938.374337
22,3873.877832
23,3930.262552
24,4000.683649
25,4287.410289
26,525.1693498
27,4174.087761
28,4730.392788
29,4806.691083
30,4890.849973
31,5037.894606
32,5396.565215
33,525.1693498
34,4174.087761
35,3938.374337
36,3873.877832
37,3930.262552
38,4000.683649
39,4287.410289
40,525.1693498
41,4174.087761
42,4730.392788
43,4806.691083
44,4890.849973
45,5037.894606
46,5396.565215
47,525.1693498
48,4174.087761
49,7666.019979
50,8034.752386
51,8626.592948
52,9257.460365
53,444.1769993
54,4400.807612
55,5352.017802
56,5430.752407
57,5585.320019
58,5817.760434
59,6040.471357
60,444.1769993
61,4400.807612
62,7526.28391
63,7666.019979
64,8034.752386
65,8626.592948
66,9239.700412
67,426.4170465
68,4383.047659
69,5334.25785
70,5412.992454
71,5567.560067
72,5800.000482
73,6022.711405
74,426.4170465
75,4383.047659
76,7508.523957
77,7648.260026
78,8016.992434
79,8608.832995
80,9239.700412
81,426.4170465
82,4383.047659
83,5334.25785
84,5412.992454
85,5567.560067
86,5913.786322
87,6199.19744
88,426.4170465
89,4383.047659
90,7497.22215
91,7729.741423
92,8098.47383
93,8690.313903
94,9331.227219
95,426.4170465
96,4383.047659
97,9667.249053
98,9892.041168
99,10943.67557
100,11535.0253
101,927.7532914
102,6583.14503
103,7766.304089
104,7691.044202
105,7915.836317
106,8437.740005
107,8591.837296
108,927.7532914
109,6583.14503
110,9645.175199
111,9667.249053
112,9892.041168
113,10943.67557
114,12227.19342
115,1084.76696
116,6863.75407
117,9024.851103
118,8949.589995
119,9174.382111
120,9777.01114
121,10036.3848
122,1084.76696
123,6863.75407
124,11001.4312
125,11023.50505
126,11248.29717
127,12331.71233
128,13003.59966
